# AT2020 — traced from manufacturer frequency-response graph
freq_hz,db
20.8,-2.77
21.4,-2.64
22.0,-2.53
22.6,-2.50
23.3,-2.36
24.0,-2.36
24.7,-2.30
25.4,-2.23
26.1,-2.23
26.9,-2.23
27.7,-2.23
28.5,-2.23
29.3,-2.23
31.1,-2.23
32.0,-2.23
32.9,-2.23
33.9,-2.23
34.9,-2.23
35.9,-2.36
37.0,-2.36
38.1,-2.36
39.2,-2.36
40.3,-2.50
41.5,-2.50
42.7,-2.64
44.0,-2.77
45.3,-2.77
46.6,-2.91
48.0,-3.04
49.4,-3.04
50.8,-3.31
52.3,-3.45
53.8,-3.55
55.4,-3.65
57.0,-3.72
58.7,-3.85
62.2,-3.85
64.0,-3.85
65.9,-3.85
67.8,-3.85
69.8,-3.85
71.9,-4.12
74.0,-4.19
76.1,-4.26
80.7,-4.32
83.0,-4.26
85.4,-4.12
88.0,-3.99
90.5,-3.85
93.2,-3.72
95.9,-3.58
98.7,-3.58
101.6,-3.31
104.6,-3.18
107.7,-3.07
110.8,-2.91
114.1,-2.77
117.4,-2.77
120.8,-2.64
124.4,-2.50
128.0,-2.50
131.8,-2.36
135.6,-2.23
139.6,-2.09
143.7,-2.09
152.2,-1.82
156.7,-1.69
161.3,-1.55
166.0,-1.42
170.9,-1.28
175.9,-1.15
181.1,-1.15
186.4,-1.15
191.8,-1.15
197.4,-1.08
203.2,-1.01
209.2,-1.01
215.3,-1.01
221.6,-1.01
228.1,-1.01
234.8,-1.01
241.7,-0.88
248.8,-0.88
256.1,-0.88
263.6,-0.88
271.3,-0.88
279.2,-0.74
287.4,-0.74
295.8,-0.74
304.5,-0.61
313.4,-0.61
322.6,-0.47
332.1,-0.47
341.8,-0.41
351.8,-0.41
362.1,-0.41
372.7,-0.41
383.6,-0.41
406.5,-0.47
418.4,-0.47
430.6,-0.47
443.2,-0.47
456.2,-0.41
469.6,-0.41
483.4,0.00
512.1,0.00
527.1,0.00
542.6,0.00
558.4,0.00
574.8,0.00
591.7,0.00
626.8,0.00
645.2,0.00
664.1,0.00
683.6,0.00
724.2,0.00
745.4,0.00
767.3,0.00
812.9,0.00
836.7,0.00
861.2,0.00
912.5,0.00
939.2,0.00
966.7,0.00
1024.2,0.00
1054.2,0.00
1085.1,0.00
1116.9,0.00
1149.6,0.00
1183.3,0.41
1218.0,0.41
1253.7,0.41
1290.4,0.41
1328.2,0.41
1367.1,0.41
1407.2,0.41
1448.4,0.41
1490.9,0.41
1534.6,0.47
1579.5,0.47
1625.8,0.47
1673.5,0.61
1722.5,0.68
1773.0,0.74
1824.9,0.84
1878.4,0.88
1933.4,0.88
2048.4,0.88
2108.4,0.88
2170.2,1.01
2233.8,1.01
2299.3,1.01
2366.6,1.01
2436.0,1.01
2507.4,1.01
2580.8,1.01
2656.4,1.01
2734.3,1.01
2814.4,1.01
2896.9,1.01
3069.1,0.88
3159.1,0.81
3251.6,0.61
3346.9,0.41
3445.0,0.00
3545.9,0.00
3649.8,0.00
3756.8,0.00
3866.9,0.44
4096.8,0.61
4216.9,0.61
4340.4,0.61
4467.6,0.61
4598.5,0.61
4733.3,0.74
4871.9,0.74
5161.7,0.88
5312.9,1.01
5468.6,1.15
5628.8,1.28
5793.8,1.39
5963.5,1.42
6138.3,1.69
6318.1,1.69
6503.3,1.72
6693.8,1.62
6890.0,1.42
7299.7,1.28
7513.6,1.52
7733.7,1.69
8193.6,2.64
8433.7,2.77
8680.8,2.77
9197.0,2.20
9466.5,1.96
9743.9,1.69
10323.3,1.69
10625.8,1.96
10937.2,1.96
11257.6,1.96
11587.5,1.76
11927.1,1.69
12276.5,1.69
12636.3,1.82
13006.5,2.09
13387.7,2.09
13780.0,1.62
14183.7,1.15
15027.1,0.00
15467.5,0.00
15920.7,-0.41
16387.2,-0.47
16867.4,-0.61
17361.7,-0.81
17870.4,-1.22
18394.0,-1.82
18933.0,-2.50
19487.8,-2.91
