# sE V7 — traced from manufacturer frequency-response graph
freq_hz,db
27.6,-18.36
28.4,-18.08
29.2,-17.76
30.1,-17.53
31.0,-17.29
31.9,-16.89
32.8,-16.62
33.8,-16.34
34.8,-16.03
35.8,-15.71
36.8,-15.39
37.9,-15.24
39.0,-15.24
50.6,-12.08
52.1,-11.67
53.6,-11.45
55.2,-11.21
56.8,-10.89
58.4,-10.58
60.2,-10.47
61.9,-10.38
63.7,-9.75
65.6,-9.63
67.5,-9.24
69.5,-8.92
71.5,-8.57
73.6,-8.29
75.8,-8.05
78.0,-7.74
80.3,-7.58
82.7,-7.11
85.1,-6.91
87.6,-6.63
90.1,-6.31
92.8,-6.16
95.5,-5.84
98.3,-5.61
101.2,-5.41
104.1,-5.21
107.2,-5.01
110.3,-4.74
113.6,-4.50
116.9,-4.34
120.3,-4.18
123.8,-3.99
127.5,-3.79
131.2,-3.63
135.1,-3.47
139.0,-3.36
143.1,-3.16
147.3,-3.12
151.6,-2.91
156.0,-2.72
160.6,-2.61
165.3,-2.53
170.2,-2.45
175.1,-2.33
180.3,-2.21
185.6,-2.05
191.0,-2.05
196.6,-1.89
202.3,-1.74
208.3,-1.74
214.4,-1.58
220.7,-1.58
227.1,-1.58
233.8,-1.54
240.6,-1.42
247.7,-1.42
254.9,-1.34
262.4,-1.26
270.1,-1.22
278.0,-1.11
286.2,-1.11
294.5,-1.11
303.2,-1.11
312.1,-1.11
321.2,-1.11
330.6,-1.11
340.3,-1.03
350.3,-0.95
360.5,-0.95
371.1,-0.95
382.0,-0.87
393.2,-0.95
404.7,-0.95
416.6,-0.87
428.8,-0.95
441.3,-0.87
454.3,-0.87
467.6,-0.87
481.3,-0.87
495.4,-0.83
509.9,-0.79
524.8,-0.79
540.2,-0.79
556.0,-0.79
572.3,-0.79
589.1,-0.75
606.4,-0.71
624.1,-0.63
642.4,-0.63
661.2,-0.63
680.6,-0.63
700.6,-0.63
721.1,-0.63
742.2,-0.55
764.0,-0.55
786.3,-0.63
809.4,-0.47
833.1,-0.39
857.5,-0.32
882.6,0.32
908.5,0.36
935.1,0.24
962.5,-0.26
990.7,-0.32
1019.8,0.24
1049.6,0.42
1080.4,0.45
1112.1,0.32
1144.6,0.32
1178.2,0.37
1212.7,0.39
1248.2,0.39
1284.8,0.39
1322.5,0.39
1361.2,0.55
1401.1,0.63
1442.2,0.63
1484.4,0.71
1527.9,0.71
1572.7,0.79
1618.8,0.95
1666.2,0.95
1715.0,0.99
1765.3,1.11
1817.0,1.11
1870.3,1.26
1925.1,1.26
1981.5,1.34
2039.5,1.42
2099.3,1.50
2160.8,1.58
2224.1,1.66
2289.3,1.66
2356.4,1.82
2425.4,1.89
2496.5,2.01
2569.6,2.05
2644.9,2.05
2722.4,2.21
2802.2,2.29
2884.3,2.37
2968.8,2.49
3055.8,2.53
3145.4,2.53
3237.5,2.53
3332.4,2.53
3430.1,2.53
3530.6,2.53
3634.0,2.53
3740.5,2.53
3850.1,2.53
3962.9,2.53
4079.1,2.45
4198.6,2.29
4321.6,2.21
4448.2,2.09
4578.6,1.97
4712.7,1.82
4850.8,1.58
4993.0,1.50
5139.3,1.34
5289.9,1.26
5444.9,1.11
5604.4,1.03
5768.7,0.95
5937.7,0.87
6111.7,0.79
6290.8,0.71
6475.1,0.79
6664.8,0.87
6860.1,0.95
7061.1,1.03
7268.0,1.11
7481.0,1.11
7700.2,1.30
7925.9,1.42
8158.1,1.58
8397.2,1.74
8643.2,1.82
8896.5,2.05
9157.2,2.09
9425.5,2.29
9701.7,2.29
9986.0,2.53
10278.6,2.57
10579.8,2.76
10889.8,2.84
11208.9,2.76
11537.3,2.84
11875.4,2.88
12223.3,2.76
12581.5,2.68
12950.2,2.61
13329.7,2.49
13720.2,2.21
14122.3,1.97
14536.1,1.74
14962.0,1.47
15400.5,1.03
15851.7,0.51
16316.2,0.18
16794.3,-0.25
17286.4,-0.63
17793.0,-1.11
18314.3,-1.50
18851.0,-1.89
19403.4,-2.29
19971.9,-2.49
